id,alias,type,format,default,notes
kCEK,level.ENCODER_KEY,int,,4,
k1,level.ID,int,,,
k2,level.NAME,string,,,
k3,level.DESCRIPTION,string,base64,,
k4,level.OBJECT_STRING,string,gzip,,
k5,level.CREATOR,string,,,
k6,level.USER_ID,int,,,
k7,level.OFFICIAL_DIFFICULTY,int,difficulty,,
k8,level.OFFICIAL_SONG_ID,int,ENUM,,
k9,level.RATING,int,,,
k10,level.RATING_SUM,int,,,
k11,level.DOWNLOADS,int,,,
k12,,,,,
k13,level.EDITABLE,bool,,,
k14,level.VERIFIED,bool,,,
k15,level.UPLOADED,bool,,,
k16,level.VERSION,int,,,
k17,level.GAME_VERSION,int,,,
k18,level.ATTEMPTS,int,,,
k19,level.NORMAL_MODE_BEST,int,,,
k20,level.PRACTICE_MODE_BEST,int,,,
k21,level.TYPE,int,ENUM,,
k22,level.LIKE_RATING,int,,,
k23,level.LENGTH_TYPE,int,length,,
k24,level.M_24,int,,,unused
k25,level.IS_DEMON,bool,,,
k26,level.STARS,int,,,
k27,level.FEATURE_SCORE,int,,,
k28,,,,,
k29,,,,,
k30,,,,,
k31,,,,,
k32,,,,,
k33,level.IS_AUTO,bool,,,
k34,level.REPLAY_DATA,string,gzip,,
k35,level.M_K35,bool,,,
k36,level.JUMPS,int,,,
k37,level.OFFICIAL_REQUIRED_COINS,int,,,
k38,level.OFFICIAL_IS_UNLOCKED,bool,,,
k39,,,,,
k40,,,,,
k41,level.PASSWORD,int,,1,int with 1 appended in front
k42,level.ORIGINAL_ID,int,,,
k43,level.TWO_PLAYER_MODE,bool,,,
k44,,,,,
k45,level.SONG_ID,int,,,
k46,level.REVISION,int,,,
k47,level.EDITED_EXTERNALLY,bool,,,
k48,level.OBJECT_COUNT,int,,,
k49,,,,,
k50,level.BINARY_VERSION,int,,,
k51,,,,,
k52,,,,,
k53,,,,,
k54,,,,,
k55,,,,,
k56,,,,,
k57,,,,,
k58,,,,,
k59,,,,,
k60,level.ACCOUNT_ID,int,,,
k61,,,,,
k62,,,,,
k63,,,,,
k64,level.COINS,int,,,
k65,level.VERIFIED_COINS,bool,,,
k66,level.STARS_REQUESTED,int,,,
k67,level.CAPACITY_STRING,string,,,
k68,level.ANTICHEAT_TRIGGERED,bool,,,
k69,level.BYPASS_HIGH_OBJS,bool,,,
k70,,,,,
k71,level.ORB_PERCENTAGE,int,,,
k72,level.LDM,bool,,,
k73,level.LDM_ENABLED,bool,,,
k74,level.TIMELY_ID,int,,,
k75,level.EPIC_RATING,int,ENUM,,
k76,level.DEMON_TYPE,int,ENUM,,
k77,level.GAUNTLET,bool,,,
k78,level.ALT_GAME,bool,,,
k79,level.UNLISTED,bool,,,
k80,level.EDIT_TIME,int,seconds,,
k81,level.EDIT_TIME_COPIES,int,seconds,,
k82,level.FAVORITE,bool,,,
k83,level.INDEX,int,,,
k84,level.LEVEL_FOLDER,int,,,
k85,level.CLICKS_BEST,int,,,
k86,level.TIME_BEST,int,,,
k87,level.SCORE_SEED,int,,,
k88,level.LEVEL_PROGRESS,string,int list,,high score delta list
k89,level.VERIFIED_CHECK,bool,,,
k90,level.LEADERBOARD_PERCENTAGE,int,,,
k91,level.LOCKED_LAYERS,string,int list,,
k92,,,,,
k93,level.BYPASS_UNLIMITED_OBJS,bool,,,
k94,level.FRIENDS_ONLY,bool,,,
k95,level.VERIFICATION_TIME,int,,,
k101,level.SAVED_CAMERA_POSITIONS,string,pair list,,
k102,level.PREVIEW_LOCK_X,int,,,
k103,level.PREVIEW_LOCK_Y,int,,,
k104,level.SONGS,string,int list,,
k105,level.SFX,string,int list,,
k106,level.M_K106,int,,,
k107,level.BEST_TIME,int,,,
k108,level.BEST_POINTS,int,,,
k109,level.LOCAL_BEST_TIME,string,int list,,
k110,level.LOCAL_BEST_POINTS,string,int list,,
k111,level.PLATFORMER_SEED,int,,,
k112,level.SHAKE_DISABLED,bool,,,
k115,,,,,
k116,,,,,
k117,,,,,
k118,,,,,
k119,,,,,
k120,,,,,
kI1,level.editor.CAMERA_X,float,,,
kI2,level.editor.CAMERA_Y,float,,,
kI3,level.editor.CAMERA_ZOOM,float,,,
kI4,level.editor.BUILD_TAB_PAGE,int,,,
kI5,level.editor.BUILD_TAB,int,,,
kI6,level.editor.BUILD_TAB_PAGES,dict,,,
kI7,level.editor.LAYER,float,,,
kI8,,,,,
kI9,,,,,
